task_id;dev_id;projeto_id;task_detalhes;nome
0ac33506-5610-418f-9b7b-fe9eaacf4f53;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;1;1;synthesize mobile protocol
f02151b4-f3bc-4ca4-b355-9abaaff1ccff;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;7;75;transmit open-source circuit
05df116f-f4d4-4135-98c6-c391889ee82d;619c9c1f-6901-4377-9588-854d23fa3672;2;115;compress solid state protocol
ba5468d5-fa86-46c4-b1e3-ab2596c04be1;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;4;125;back up redundant array
6cc18561-ff35-46cf-b125-24e48908f777;7e492c89-9350-444c-8f8f-e41bd0b3e25d;4;135;program 1080p hard drive
eb8c381c-c40d-444e-8c60-4c5de4efb730;44ba38d2-ecb3-49ad-b84a-a26dfb9cea43;1;146;input bluetooth firewall
4418af46-e383-4d5b-936e-01dea531d33b;44ba38d2-ecb3-49ad-b84a-a26dfb9cea43;6;157;calculate cross-platform bandwidth
46b3f82a-818d-466a-bc35-199cb79e836c;a2930a94-d631-406b-a3f7-f960edbb8c25;5;167;program 1080p panel
99019c6f-b36c-4482-a60d-8e94a9882f50;44ba38d2-ecb3-49ad-b84a-a26dfb9cea43;10;179;calculate bluetooth bus
70b45cfd-bad4-4978-a476-fccd78b0d80f;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;2;191;navigate back-end application
239081d5-c8b5-47be-97bc-e1e177b43528;659e4749-0237-4b89-9ad7-7402491b5bb5;4;200;hack mobile sensor
ac61074d-37f7-42c8-973c-f70393819ef2;45fadfc6-b1d6-4370-ab48-22275a7abea0;5;210;program multi-byte transmitter
355cbc06-421c-4bdb-afd7-ad14ecd98a81;44ba38d2-ecb3-49ad-b84a-a26dfb9cea43;6;219;parse online alarm
be540bce-a9f8-416e-a947-1546a126e207;659e4749-0237-4b89-9ad7-7402491b5bb5;1;229;copy solid state pixel
39ce45e7-821c-48c9-9870-a2e0147df5a1;b2fe63fb-a623-4489-9ab9-466208e2ef76;1;238;synthesize wireless circuit
b6414186-15fb-4386-be49-5c5c7ec1e440;45fadfc6-b1d6-4370-ab48-22275a7abea0;7;248;calculate open-source circuit
4c75c112-a292-42c5-9f0d-a88e84d310c5;619c9c1f-6901-4377-9588-854d23fa3672;7;257;synthesize 1080p array
ac6bcf31-ccea-4de2-bc58-622661f0822a;a2930a94-d631-406b-a3f7-f960edbb8c25;1;268;input open-source sensor
3ae559bd-9aa0-4602-b705-fb03a8d86129;7e251a76-cd69-40e7-8455-fc2d76a49650;8;278;reboot back-end driver
3cb342f8-cb68-47f5-a7ed-275413f13d79;8cd16da4-204e-4f54-b035-35d2fccda445;2;289;hack open-source system
28cf449f-c211-471c-86b9-fa19e802baa0;8e839b75-d84b-46be-954d-4f6fcf19a534;1;299;copy bluetooth sensor
e9723f39-62a9-462b-909b-35649b2e490c;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;5;309;quantify redundant program
8f4a3c04-36c0-442b-bc36-3e6eab25174a;45fadfc6-b1d6-4370-ab48-22275a7abea0;3;319;compress digital bandwidth
b1d036af-b016-4a07-ac0b-49ea31993286;619c9c1f-6901-4377-9588-854d23fa3672;4;328;synthesize virtual feed
22540f36-51dc-4ce5-a408-d89836c0425b;8cd16da4-204e-4f54-b035-35d2fccda445;4;338;reboot bluetooth alarm
d18f5771-13af-4861-8f96-5167d635c62d;45fadfc6-b1d6-4370-ab48-22275a7abea0;3;350;back up neural pixel
e0779a7c-6aac-48ec-bb05-bf237c5395c5;593659fd-0b03-42d2-a70f-51f8c18a806f;6;360;compress cross-platform bandwidth
2b713a4c-31ae-49dd-8a1b-0481b41d4158;b2fe63fb-a623-4489-9ab9-466208e2ef76;8;373;hack wireless circuit
8230d1b4-679f-4009-bb18-3a7a43a8d4bd;a2930a94-d631-406b-a3f7-f960edbb8c25;6;413;synthesize optical protocol
32e50a6a-f103-427a-96b6-a24a5b0bd5a1;29af5134-9b8d-489a-8303-a83f89cb07ff;7;451;hack neural alarm
40c69fbb-9976-4dc1-bc34-d8189f052aa7;aebfdd1f-ed66-427b-b052-57ae0fd756a1;4;473;calculate optical bandwidth
0a75ad63-61e4-49bf-867e-49bb224013a4;45fadfc6-b1d6-4370-ab48-22275a7abea0;9;482;hack 1080p system
43a24f42-8fea-4493-a2a2-794c1fe6e569;aebfdd1f-ed66-427b-b052-57ae0fd756a1;8;497;quantify optical sensor
e3732633-68ef-4687-88fa-45269a95b1f6;659e4749-0237-4b89-9ad7-7402491b5bb5;5;509;copy online hard drive
f0e22dfc-0410-4ba6-a6d1-d42d6c5873ad;8cd16da4-204e-4f54-b035-35d2fccda445;3;519;generate mobile array
81af478d-4c7b-460c-8d72-c2ef1ff3f157;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;4;528;index haptic panel
17caf51b-fa08-4621-81bd-01cbc0c47902;a2930a94-d631-406b-a3f7-f960edbb8c25;9;538;bypass redundant bus
4f2a84a3-8dab-4cfb-a5db-4a8b0565de33;45fadfc6-b1d6-4370-ab48-22275a7abea0;8;547;generate wireless monitor
56ba77df-c0a7-4746-a009-36b193944128;7b4e0507-3ba7-4cb5-b7ea-8f7db7deab49;5;555;navigate virtual monitor
1c3a4287-1eee-40f5-9a7a-80e6b7cb9796;7e492c89-9350-444c-8f8f-e41bd0b3e25d;10;561;index optical panel
a41e40d7-20de-497e-85e6-576939b1031b;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;9;586;connect back-end program
f8ae2d9e-2276-4cbf-9f8a-ff9b619612a4;593659fd-0b03-42d2-a70f-51f8c18a806f;3;613;navigate optical port
85d993af-cfbc-4bb0-b44d-83115a9e7fee;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;2;622;back up redundant array
8f62b472-1997-4b35-a12b-8b376bb35689;a2930a94-d631-406b-a3f7-f960edbb8c25;3;633;parse multi-byte port
8946f4aa-1e46-4b8c-97e7-ec7c3a132a27;7e492c89-9350-444c-8f8f-e41bd0b3e25d;1;644;input solid state panel
cb56d2cb-248d-45bd-bcf9-7d4e7e7c5aec;a2930a94-d631-406b-a3f7-f960edbb8c25;6;647;synthesize back-end pixel
6016c6b5-411a-43b0-ba26-04f24ac3d9d1;a2930a94-d631-406b-a3f7-f960edbb8c25;10;657;reboot solid state microchip
666da48d-4045-4269-bc0e-6de9229bc979;a5b13cf1-dd82-4494-9663-15c4490c5928;4;667;navigate open-source panel
675a3ece-4435-4f85-ad74-da2f436f6ad7;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;7;678;connect 1080p capacitor
74d61181-3df8-4e97-b10d-18d0d7d5bb3a;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;7;689;calculate mobile circuit
7ef054db-b41f-48cd-9db9-ba6f2cbff28a;66063f81-496d-47be-a5ff-8f2fdeb2cc8a;5;700;quantify virtual bandwidth
272d3a07-6a0d-44e9-a139-afd3b1cd2ce9;659e4749-0237-4b89-9ad7-7402491b5bb5;3;710;compress wireless microchip
41a0bc22-69ef-4769-bbc8-540362626a93;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;1;724;input digital program
24c58326-ee1f-43d0-9fdf-6ed5348cd50f;66063f81-496d-47be-a5ff-8f2fdeb2cc8a;8;736;hack virtual matrix
dfb81a24-c495-4ec9-be3a-102a1c729532;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;5;746;synthesize cross-platform transmitter
b5a54406-7add-4eec-b07b-b031e625b0c7;8e839b75-d84b-46be-954d-4f6fcf19a534;2;756;synthesize open-source microchip
b44e6001-a2f0-42d1-a621-e909776b4a46;7b4e0507-3ba7-4cb5-b7ea-8f7db7deab49;10;766;input 1080p program
81e1a2b4-4918-417f-857e-2e16b3dd2d58;44ba38d2-ecb3-49ad-b84a-a26dfb9cea43;8;776;copy neural driver
a393af70-a18e-4441-9312-1b9ec60c6b3e;aebfdd1f-ed66-427b-b052-57ae0fd756a1;4;4;connect virtual bandwidth
6e6039e6-aa8f-43c9-b7e5-12b52baba574;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;1;9;synthesize mobile program
06376d92-649e-4b4e-8018-fffbf0027a0b;4ff87669-5a9c-4b2d-8991-5dbc3bae96ac;10;70;parse solid state program
39c15541-c9a2-4c83-a6c6-1d95ff6c7397;a5b13cf1-dd82-4494-9663-15c4490c5928;9;71;override bluetooth hard drive
4c8219f5-8563-42ed-b33d-16ff999e0ba4;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;4;79;transmit digital pixel
a93ae0a5-12e4-437f-9098-b0106b0f9b0a;659e4749-0237-4b89-9ad7-7402491b5bb5;4;82;bypass bluetooth bandwidth
ff8fe1a6-0144-4bac-b53c-bb0276615018;593659fd-0b03-42d2-a70f-51f8c18a806f;6;90;index virtual pixel
bdbd01d1-f8d9-4f2a-be3e-3c3c4a58caa6;b2fe63fb-a623-4489-9ab9-466208e2ef76;6;92;back up redundant alarm
accd6ec7-970b-4b87-84e9-48e7eba75df5;29af5134-9b8d-489a-8303-a83f89cb07ff;5;99;reboot mobile microchip
d14bcd00-ec90-4ea6-b1e2-1007a62e6528;a5b13cf1-dd82-4494-9663-15c4490c5928;1;100;input open-source hard drive
d2fb938c-4d41-4809-97a9-74318a789d1c;b2fe63fb-a623-4489-9ab9-466208e2ef76;9;108;calculate back-end card
4192f8c2-b748-44ad-b8a0-cf3c111111fb;7e251a76-cd69-40e7-8455-fc2d76a49650;1;111;copy primary panel
f9194543-318a-45e9-9b3b-e50352f2b3b8;659e4749-0237-4b89-9ad7-7402491b5bb5;7;120;copy open-source sensor
3f03de9e-9045-42e2-974d-d2a1d2c2b5c1;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;6;123;program multi-byte microchip
4526a238-dde6-4ebc-8335-e9f6b39c924f;8cb6e102-b757-4f96-9fbd-3f5079ed7a79;10;132;bypass solid state firewall
da6ba790-31e9-423d-8171-fba419a845ea;8c7d3ba7-9b51-4f78-a863-b3074af5f7a1;8;133;copy mobile firewall
d2266f8e-1ad8-4dfe-91d8-45b94c337585;4ff87669-5a9c-4b2d-8991-5dbc3bae96ac;9;142;quantify auxiliary card
e96c5dd4-395e-4d4e-a8a4-32d264805e6b;fdd3db4c-e2d7-4b78-9b25-2a0cb0de0c9a;2;144;override optical sensor
71afdb1e-50a1-479c-8771-2f4e777701d2;4ff87669-5a9c-4b2d-8991-5dbc3bae96ac;3;152;copy virtual port
c4991748-45d2-47f5-bee7-8225fab04317;8e839b75-d84b-46be-954d-4f6fcf19a534;1;154;hack redundant capacitor
8ddd024f-dcbf-4e64-a0b4-21386f6da49f;8e839b75-d84b-46be-954d-4f6fcf19a534;7;162;navigate neural port
569919e9-fb85-4dbe-8288-f677c7f46705;29af5134-9b8d-489a-8303-a83f89cb07ff;10;164;copy auxiliary application
